Component,Failure Mode,Effect,Severity,Likelihood,Detectability,RPN,Current Mitigation,Proposed Mitigation
Celery worker,"Worker restart/OOM mid-task; acks_late=False and no retry","Task lost with message already acked; client polls PENDING forever",8,6,8,384,"None — task is acked on receipt","Set acks_late=True, task_reject_on_worker_lost=True, bounded autoretry max_retries=2 (after making task idempotent)"
Redis,"result_expires=3600; Story row persists metadata only","Finished story content discarded after 1h; user permanently loses a paid story",8,6,8,384,"Story row stores title/theme/themes","Persist full story_text and pages to Story row; serve task-status from DB when Celery result expired"
Sentry,"Silent failures raise no exception","Beat skip, result expiry, all-fallback, queue growth never alert",7,6,9,378,"Sentry captures exceptions; before_send scrubbing","Emit explicit metrics: static_fallback rate, queue depth, purge heartbeat; alert on thresholds"
Postgres,"Backup restore never tested","Untested backup may fail when needed; possible total data loss",10,4,9,360,"Railway daily volume backups staged 2026-05-14","Perform restore drill into scratch environment; document time-to-recover; write runbook RB-4"
Redis,"maxmemory-policy may not be noeviction (unconfirmed)","Queued Celery messages and results evicted -> silent task loss",9,4,9,324,"None confirmed","Verify and set maxmemory-policy noeviction; alarm on evicted_keys > 0"
API,"Sync-timeout orphan thread plus async fallback dispatched","Double Gemini spend and duplicate Story rows per timed-out request",7,5,9,315,"None — shutdown(wait=False) abandons the running thread","Make generation idempotent on client request key; on sync timeout reuse same task handle, do not dispatch a new one"
API,"Sync generation holds 1 of 2 gunicorn workers up to 75s","2 concurrent requests stall whole API; healthcheck fails -> restart",8,6,6,288,"SYNC_STORY_TIMEOUT_SECONDS=75 caps duration","Default to async generation; raise worker count or move to gevent; keep sync for low-latency only"
Railway,"Dyno restart / redeploy","In-flight async tasks (W1) and HTTP requests dropped",6,7,6,252,"restartPolicyType on_failure, healthcheck","Fix W1 acks_late so restarts are survivable; deploy in low-traffic windows"
Celery beat,"celery-beat service not in railway.toml; celery_config.py comment claims embedded -B","IaC rebuild loses beat -> retention purge silently stops",7,4,9,252,"celery-beat runs in Railway dashboard","Add celery-beat service to railway.toml; correct misleading comment in celery_config.py"
Celery beat,"Beat runs but purge firing never verified","Daily COPPA retention purge can silently stop with no alert",7,4,9,252,"Beat service deployed and SUCCESS","Purge task writes last_run heartbeat; alert if stale > 36h"
Postgres,"Volume backups staged but active state unconfirmed; restore only same project/env","Possible no backups; no off-Railway disaster recovery",10,3,8,240,"Daily schedule staged via MCP 2026-05-14","Confirm backups active in dashboard; add periodic off-Railway pg_dump to R2/S3 before paying users"
Postgres,"backup_database.py writes to ephemeral /app/backups, never scheduled","Dead code implies a backup exists when it does not",6,5,8,240,"None — script is not wired to any scheduler","Delete the script or wire it to an external bucket with a real schedule"
Cross-cutting,"Stacked retry layers: client retry + sync-to-async fallback + last-resort sync retry","One request can trigger up to 3 generations",7,4,8,224,"None","Single client-supplied idempotency key deduplicated across all retry layers"
Stripe,"Outbound checkout.Session.create has no idempotency_key","Client retry creates multiple checkout sessions / duplicate-subscription risk",7,4,7,196,"Authenticated user_id in metadata","Pass a Stripe idempotency_key derived from user_id + tier + time window"
Gemini,"Outage -> OpenRouter -> static fallback with no user-facing signal","Paying user silently receives a generic 4-page story",6,4,8,192,"Tiered fallback chain Gemini->OpenRouter->static","Surface provider/fallback state to user; alert on static_fallback rate"
Gemini/OpenRouter,"Both providers down or OPENROUTER_API_KEY unset","Every story becomes static fallback; no static-fallback-rate alert",7,3,8,168,"Static fallback returns valid JSON","Alert on static_fallback rate; health-probe both providers"
Celery worker,"Single worker, --pool=solo, concurrency 1","Throughput bottleneck; queued users wait up to 600s each",5,6,5,150,"task_time_limit=600 bounds per-task time","Add worker replicas or concurrency; separate queue for retention vs generation"
API,"/health is shallow (no DB probe)","Bad deploy with broken DB passes healthcheck and goes live",7,3,7,147,"/health/detailed exists but is admin-only","Add a lightweight DB probe to /health or run a post-deploy smoke check"
API,"Image request can run 120s == gunicorn --timeout 120","Worker killed mid-request; request dropped",6,4,6,144,"GEMINI_IMAGE_REQUEST_TIMEOUT_SECONDS=120","Lower image timeout below gunicorn timeout; move image gen fully async"
API,"Pool 10 + overflow 20 per worker ~90 conns vs ~100 Postgres limit","Connection exhaustion under load -> 500 errors",7,4,5,140,"pool_pre_ping, pool_recycle 3600","Right-size pool to worker count and Postgres max_connections; monitor checked-out connections"
OpenRouter,"Outage while STORY_GEN_PROVIDER=openrouter (no Gemini fallback)","All stories become static fallback",6,3,7,126,"auto mode exists for rollback-safe migration","Keep auto mode in incidents; alert on provider error rate"
Celery worker,"Hung provider call held to task_time_limit=600s then SIGKILL, no retry","Task lost after a 10-minute hang",6,3,6,108,"task_time_limit=600","Lower soft time limit; add bounded retry; tighten provider request timeouts"
Stripe,"checkout.session.completed carries bare subscription ID","current_period_end stored as None until first subscription.updated",3,6,6,108,"_resolve_subscription_object re-fetches for tier","Expand subscription on session retrieval, or always retrieve to populate period_end"
Postgres,"No migration framework; hand-run scripts, no transaction/rollback","Bad migration -> manual recovery, possible partial schema",7,3,5,105,"Standalone migration scripts in backend/migrations","Adopt Alembic; run migrations transactionally in the deploy pipeline"
Postgres,"db.create_all() on startup","Schema drift; dropped/renamed columns never reconciled",5,3,7,105,"Models import in dependency order","Replace create_all with managed migrations"
Stripe,"Backend down beyond Stripe ~3-day webhook retry window","Event permanently dropped -> subscription state desync",7,2,7,98,"Stripe retries for ~3 days","Periodic reconciliation job comparing Stripe subscriptions to local state"
Railway,"Crash-loop exhausts restartPolicyMaxRetries=3","Service stays DOWN until manual intervention",8,3,4,96,"Security assertions fail fast on bad config","Downtime alert (already specified in RAILWAY_ALERTS_SETUP.md); pre-deploy config validation"
Stripe,"Webhook secret rotation undocumented; code reads single STRIPE_WEBHOOK_SECRET","Rotation creates a window where all webhooks return 401",6,3,5,90,"Signature verification enforced","Support dual signing secrets during rotation; document the rotation runbook"
OpenRouter,"Per-image pricing ~0.0375 USD; retry loop","Image-generation cost spike",5,3,6,90,"Illustration quota cost-breaker (check_illustration_quota)","Cap retries; alert on per-day image spend"
Sentry,"Worker initializes Sentry lazily on first task","Early worker-boot crash before first task is not reported",4,3,7,84,"create_app initializes Sentry on first task","Initialize Sentry in the Celery worker bootstrap explicitly"
Redis,"Redis outage (SPOF: broker + results + rate limit + quota)","No async story generation until Redis recovers",8,3,3,72,"Sync path still serves; security assertion requires REDIS_URL","Monitor Redis health; document RB-5; consider managed Redis with failover at scale"
Stripe,"Stripe API outage during checkout/portal create","User cannot subscribe; 500 returned",6,3,4,72,"Exceptions caught, clean error returned","Retry with backoff; show a friendly retry-later message"
Gemini,"Quota / 429 ResourceExhausted","QUOTA_EXCEEDED surfaced to user",5,4,3,60,"_classify_provider_failure detects 429; 429 response","Per-user quota smoothing; alert when project-level quota nears limit"
Client,"Access token expires after 1h offline","Brief re-authentication via 30-day refresh token",2,8,3,48,"JWT_ACCESS_TOKEN_EXPIRES 1h, refresh 30d","Acceptable; ensure client silently refreshes before expiry"
Stripe,"Inbound webhook double-delivery","Re-applied absolute writes; safe",3,3,4,36,"event.id dedup + unique constraint + stale-event cursor","None required — already idempotent"
Railway,"Single-region (asia-southeast1) outage","Full application outage",8,1,3,24,"None","Accept at current scale; revisit multi-region after launch"
Redis,"Redis outage degrades rate limiting / quota","Rate limit per-process only; quota falls to DB breaker",4,3,2,24,"M-2 fail-closed DB cost breaker; per-process limit fallback","None required — already mitigated"
