Item,Owner,Recovery Method,RTO,Lock-In Risk,Authorized Second Party,Notes
GitHub repo (darcy0408/story-weaver-app),Darcy (personal account),"Account recovery email + MFA; repo is the single source of code",Days,Medium,None (Unverified),"Single origin remote; no off-platform mirror. If the personal account is locked, CI/CD, deploy, and all collaboration stop. Org-owned repo recommended."
GitHub Actions secrets (RAILWAY_TOKEN/PROJECT_ID/CLOUDFLARE/R2_*/DATABASE_PUBLIC_URL/NETLIFY_*),Darcy,"Re-create each token from its vendor and re-add via gh secret set",Days,Medium,None (Unverified),"~10 repo secrets drive deploy + backup. Values not in repo. List documented in postgres-backup.yml and DEPLOYMENT_SECRETS_GUIDE.md; values are not."
Railway project radiant-tranquility (36b27716-...),Darcy (Hobby plan),"Account login (email+MFA); IDs in DEPLOYMENT_SECRETS_GUIDE.md and POSTGRES_BACKUP_DECISION",Days,High,None (Unverified),"Hosts backend, Celery worker (lovely-perfection), celery-beat, Redis, Postgres. Account loss = whole prod stack gone except R2 dump. Native backups Pro-only."
Production Postgres (Railway, cfbe4566-...),Darcy,"Restore latest R2 pg_dump into a new Postgres; apply DATABASE_URL",Days,High,None,"Holds users, characters, story history, consent records. RPO up to 24h (daily 09:00 UTC dump). Restore procedure NOT documented or tested. Stripe is source of truth for subscriptions only."
Redis (Railway plugin),Darcy,"Re-provision Railway Redis; set REDIS_URL/CELERY_BROKER_URL",Hours,Low,None,"Broker + rate-limit + result backend. Ephemeral by design; in-flight tasks lost on loss (FMEA R1/W1). No persistence needed."
ENCRYPTION_KEY (AES-256-GCM for stored BYOK keys),Darcy (Railway env only),"Unrecoverable if lost — re-key forces all users to re-enter BYOK keys",Unrecoverable,Critical,None,"backend/encryption_utils.py reads ENCRYPTION_KEY from env. Not in repo, not in any documented vault. Loss permanently bricks all stored encrypted API keys."
JWT_SECRET_KEY / SECRET_KEY (Railway env),Darcy,"Regenerate; all active sessions invalidated (users re-login)",Hours,Low,None,"Recoverable by regeneration with acceptable user impact. Prod startup asserts presence."
Android release keystore (story-weaver-release.jks),Darcy (local machine ONLY),"NONE if lost — Play app updates become impossible without Play key reset",Unrecoverable,Critical,None,"MT-144 still OPEN: keystore NOT YET created. Once created it lives only on Darcy's machine + key.properties (gitignored). No off-machine backup mandated. Losing it = cannot ship Android updates."
Google AI / Gemini API key (+ GOOGLE_API_KEY_2/3/4 rotation),Darcy (Google account),"Re-issue keys at aistudio.google.com; set GEMINI_API_KEY",Hours,Medium,None (Unverified),"Primary story+image text provider. ToS prohibits child-directed apps (L-AI-01) — migration to OpenRouter pending (STORY_GEN_PROVIDER flag). Rotation keys multiply the recovery surface."
OpenRouter API key,Darcy,"Re-issue at openrouter.ai; set OPENROUTER_API_KEY",Hours,Low,None (Unverified),"Image-gen + planned story-text provider. Portable (OpenAI-compatible). Low lock-in."
Cloudflare account (Pages + R2 + Workers AI),Darcy (darcy0408@gmail.com),"Account login (email+MFA)",Days,High,None (Unverified),"Hosts prod frontend (Pages), the ONLY off-Railway DB backup (R2), and default illustration provider (Workers AI). Account loss removes frontend AND the disaster-recovery backup simultaneously."
Stripe account (live mode),Darcy,"Account login (email+MFA); source of truth for subscriptions",Days,High,None (Unverified),"Revenue + subscription state. Keys re-issuable; account itself is not. Customer/subscription data exportable via Stripe dashboard/API. v15 SDK upgrade pending (breaking changes)."
ElevenLabs API key,Darcy,"Re-issue at elevenlabs.io; set ELEVENLABS_API_KEY",Hours,Medium,None (Unverified),"Top TTS tier. Tiered fallback (Gemini Flash TTS -> Edge -> on-device) means loss degrades, not breaks. Word-timestamps + multi-voice are ElevenLabs-only."
Replicate API token,Darcy,"Re-issue at replicate.com; set REPLICATE_API_TOKEN",Hours,Low,None (Unverified),"Secondary Flux illustration fallback behind Cloudflare. Low impact."
Resend API key (COPPA consent email),Darcy,"Re-issue at resend.com; set RESEND_API_KEY + verified domain",Hours,Medium,None (Unverified),"Without it under-13 signups cannot complete verified consent (503). Domain must be verified in Resend dashboard (dashboard-only fact)."
Firebase project (analytics),Darcy (Google account),"Google account login",Days,Low,None (Unverified),"Client analytics only; disabled on web and gated by consent+age. Non-critical to operation."
Sentry project + DSN,Darcy,"Re-create project/DSN at sentry.io; set SENTRY_DSN",Hours,Low,None (Unverified),"Crash reporting. Loss = observability gap, not outage. Developer plan."
Domain registrar (onceuponyourchild.app),Darcy (Unverified registrar),"Registrar account login; DNS points to Cloudflare Pages",Days,Medium,None (Unverified),"Registrar identity unknown from repo. Domain loss = brand+frontend URL loss. Verify registrar, auto-renew, and recovery contact."
Apple Developer account,Darcy (Unverified),"Apple ID login + MFA",Days,High,None (Unverified),"iOS distribution. IOS_TESTFLIGHT_SETUP.md present. Apple ID + signing certs likely machine-bound. iOS store deploy in progress, not live."
Google Play Console,Darcy (Unverified),"Google account login",Days,High,None (Unverified),"Android distribution (MT-145 store forms open). Paired with the keystore SPOF above. App not yet published."
Darcy's development machine (Windows),Darcy,"No documented re-provisioning; secrets live in backend/.env, key.properties, ~/.claude/memory",Weeks,Critical,None,"Holds local .env secrets, the (future) keystore, BYOK test keys, and the operational-knowledge memory store. Machine loss without external backup is the single worst recovery scenario."
Operational knowledge (landmines, runbooks, vendor IDs),Darcy (~/.claude/memory + 198 session logs),"Read scattered docs/sessions + Darcy's machine-local memory files",Weeks,Critical,None,"No CLAUDE.md/AGENTS.md in repo. Key landmines (git-index race, gstatic CSP, stripe v15) live in machine-local memory, not a discoverable in-repo runbook."
Prompt templates (age constraints, tone directives, Life Quests),Darcy,"In-repo: backend/services/story_service.py + interactive_adventure_prompt_builder.py; versioned (MT-187)",Hours,Low,Repo,"Well externalized in code and versioned. Low continuity risk."
User data export,Per-user (self-service),"GET /api/user/<id>/export returns JSON; DELETE /api/user/<id>/data purges",Hours,Low,Repo,"Per-user export/delete exist and are audit-logged. No bulk/admin export — operator-side export relies on the R2 pg_dump."
